name            id             x             y             z         x_min         x_max         y_min         y_max         z_min         z_max         n_pix         f_min         f_max         f_sum           rel          flag          fill          mean           std          skew          kurt           rms           w20           w50          wm50       ell_maj       ell_min        ell_pa     ell3s_maj     ell3s_min      ell3s_pa        kin_pa         err_x         err_y         err_z     err_f_sum            ra           dec         v_rad        x_peak        y_peak        z_peak       ra_peak      dec_peak    v_rad_peak
-             -           pix           pix           pix           pix           pix           pix           pix           pix           pix             -       Jy/beam       Jy/beam        Jy*m/s             -             -             -       JY/BEAM       JY/BEAM             -             -       Jy/beam           m/s           m/s           m/s           pix           pix           deg           pix           pix           deg           deg           pix           pix           pix        Jy*m/s           deg           deg           m/s           pix           pix           pix           deg           deg           m/s
"MKTCS-HI J011827.32+001701.0"            24    106.228539    621.689219    258.628979            93           116           607           635           253           270          2214     -0.002368      0.005534   1904.470712      1.000000             0      0.092458      2.592555      1.561198     -0.275388      1.121988   6.77166e-04   4.25928e+05   3.85952e+05   4.22792e+05     10.613185      6.551006    -23.403729     10.586682      6.575077    -29.079076    356.468387      0.348005      0.458137      0.310846    218.317345     19.613824      0.283623   1.19974e+07           107           623           262     19.612538      0.285808   1.18487e+07
"MKTCS-HI J011456.36+000746.2"            25    633.590088    529.207339    260.380332           624           642           518           539           255           269          1389  -1.89579e-04   5.23839e-04    133.422363      1.000000             0      0.115064      1.988185      1.014888      0.055461      0.205740   8.93716e-05   4.45626e+05   3.67399e+05   4.41788e+05      7.910312      5.572839    -29.745864      8.086182      3.790226    -19.216714    150.368905      0.481177      0.530744      0.478420     22.822071     18.734850      0.129512   1.19202e+07           635           530           258     18.732500      0.130833   1.20252e+07
"MKTCS-HI J011425.85+003210.7"            26    709.862102    773.289502    262.718736           699           722           758           786           258           267          2013  -4.98272e-04      0.004268   1073.394734      1.000000             0      0.226812      6.264423      4.825533      1.308452      1.719101   1.34185e-04   2.85588e+05   2.52022e+05   2.72898e+05      7.804777      6.370053    -12.468254      9.654673      7.558002    -15.479223    346.429612      0.162548      0.187514      0.068085     41.250687     18.607721      0.536316   1.18170e+07           710           773           265     18.607492      0.535833   1.17164e+07
"MKTCS-HI J011355.58+003356.0"            27    785.544352    790.834970    257.529059           775           795           782           801           252           265          1271  -5.03103e-04      0.001748    371.747226      1.000000             0      0.162585      3.480636      2.231360      0.720908      0.231516   1.58234e-04   1.95354e+05   1.52687e+05   1.77395e+05      6.840895      6.250314     24.179427      6.545693      5.784095     -5.095745    189.323390      0.370828      0.356757      0.169381     38.652342     18.481576      0.565556   1.20459e+07           785           792           258     18.482483      0.567498   1.20252e+07
"MKTCS-HI J011557.66+004130.8"            28    480.348923    866.636738    251.540024           473           489           859           874           249           261           887  -6.91088e-04      0.002105    333.826501      1.000000             0      0.223810      2.521268      2.667524      0.539674      0.432776   1.74846e-04   2.03664e+05   1.65933e+05   1.86359e+05      6.193949      5.086661     42.831760      6.445024      5.243853     43.162662    229.264317      0.305001      0.290264      0.098674     35.679671     18.990267      0.691898   1.23101e+07           480           867           252     18.990848      0.692503   1.22898e+07
"MKTCS-HI J011801.64+001854.0"            29    170.415977    640.514185    258.155621           163           177           633           648           256           261           780     -0.001096      0.002323    368.737649      0.999738             0      0.453704      2.067360      1.043667      0.266108      0.583632   4.69430e-04   2.20545e+05   2.20545e+05   2.20545e+05      5.879332      4.629777    -12.280501      4.016199      3.173173    -34.995796     46.620976      0.594316      0.649944      0.333280     89.830182     19.506836      0.315004   1.20183e+07           169           640           256     19.509196      0.314147   1.21134e+07
"MKTCS-HI J011415.73+004557.1"            30    735.164169    911.007269    253.823329           725           747           901           922           251           259          1417  -3.99405e-04      0.003626    902.785443      1.000000             0      0.247549      4.101959      2.711711      0.971776      0.431305   2.49512e-04   2.34351e+05   1.90161e+05   2.10575e+05      7.364994      7.114453     47.975149      7.055013      6.474117    -58.245940    238.809738      0.303529      0.309585      0.110058     64.354766     18.565539      0.765851   1.22094e+07           735           911           252     18.565813      0.765838   1.22898e+07
"MKTCS-HI J011432.96+010018.3"            31    692.078880   1054.536806    251.576273           678           701          1043          1068           247           258           873     -0.001851      0.004722    669.428549      1.000000             0      0.087910      1.818968      2.130549     -0.140286      0.203776   5.44892e-04   2.59103e+05   2.24391e+05   2.43110e+05      6.915426      5.303286     18.429320      6.212287      4.241295    -12.097064    178.250908      0.353850      0.432799      0.162167    110.311723     18.637345      1.005083   1.23085e+07           693          1054           250     18.635809      1.004188   1.23780e+07
"MKTCS-HI J011600.89+005349.4"            32    472.296517    989.723792    252.025160           464           481           973           999           246           257          1304     -0.001677      0.002657    375.118120      1.000000             0      0.124339      1.710368      2.321593     -0.629929      0.330194   3.10890e-04   3.31232e+05   2.09616e+05   3.31977e+05      7.428112      6.389561     28.805450      5.723297      4.407253    -88.655051     68.912236      0.428503      0.575626      0.282548     76.921992     19.003699      0.897052   1.22887e+07           472           990           251     19.004193      0.897512   1.23339e+07
"MKTCS-HI J011507.61+001341.9"            33    605.468929    588.482725    245.961360           599           616           578           598           237           257          1109  -3.39562e-04   6.44605e-04     74.646954      1.000000             0      0.088435      1.475351      2.267856     -0.497187     -0.422868   8.19988e-05   6.21504e+05   2.53704e+05   6.57892e+05      6.008711      5.420617     47.113819      6.477674      4.652788     55.494546    260.743950      0.380739      0.407613      0.384054     18.710152     18.781718      0.228305   1.25562e+07           605           588           243     18.782500      0.227500   1.26868e+07
