# ========================================================================
# Cluster-level metadata catalogue (SoFiA-2 style)
# Columns:
# ID              : Cluster/field identifier (MGCLS / RXC / MACS / Abell name)
# SEL             : Target selection type (radio / X-ray / optical)
# M_Z             : MeerKAT target redshift (dimensionless)
# Anc_Z           : Ancillary data redshift (dimensionless)
# RA              : Right Ascension J2000 (hh:mm:ss.s)
# DEC             : Declination J2000 (dd:mm:ss.s)
# DATE            : UTC start date/time of observation
# SBID            : Schedule Block identifier
# CAPTURE_ID      : Capture ID (unique observation identifier)
# AWS             : Archive storage flag ("staged" / "no")
# R200            : Radius within which the average cluster density is 
#                   200 × the critical density of the Universe [Mpc]
# SIGMA_V         : Cluster velocity dispersion [km/s]
# SOFIA_DETS      : Number of detections by SoFiA-2 in the field
# RMS             : Image root mean square noise [Jy/beam]
# NHI_min         : Minimum HI column density sensitivity [cm^-2]
# NHI_max         : Maximum HI column density reached [cm^-2]
# V_min           : Minimum velocity covered [km/s]
# V_max           : Maximum velocity covered [km/s]
# NCHAN           : Number of spectral channels
# FREQ_min        : Minimum frequency covered [MHz]
# FREQ_max        : Maximum frequency covered [MHz]
# BMIN            : Synthesised beam minor axis [arcsec]
# BMAJ            : Synthesised beam major axis [arcsec]
# BPA             : Beam position angle [deg]
# MGCLS_Name      : MGCLS target short name
# COUNTERPART     : Optical/IR/radio counterpart identifier
# Mass            : Estimated total mass of the cluster [M_sun]
# ========================================================================
ID	SEL	M_Z	Anc_Z	RA	DEC	DATE	SBID	CAPTURE_ID	AWS	R200	SIGMA_V	SOFIA_DETS	RMS	NHI_min	NHI_max	V_min	V_max	NCHAN	FREQ_min	FREQ_max	BMIN	BMAJ	BPA	MGCLS_Name	COUNTERPART	Mass 
"Abell3558"	"radio" 0.0480  -	13:27:54.8	-31:29:32.0	2018-07-04T15:36:18Z	20180703-0003	1530718572	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j132754-312932"	-	-
"Abell3667"     "radio" 0.0556  -	20:12:33.7	-56:50:26.3	2018-10-27T13:08:19Z	20181027-0003	1540645694	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j201233-565026"	-	-
"Abell2597"     "radio" 0.0852  -	23:25:19.7	-12:07:27.7	2018-10-18T15:17:57Z	20181018-0021	1539875874	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j232519-120727"	-	-
"Abell3365"     "radio" 0.0926  -	05:48:12.0	-21:56:06.0	2018-11-14T20:15:38Z	20181114-0020	1542226528	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j054812-215606"	-	-
"Abell3365"     "radio" 0.0926  -	05:48:12.0	-21:56:06.0	2018-11-18T19:32:26Z	20181118-0008	1542569543	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j054812-215606"	-	-
"Abell-13"      "radio" 0.0943  -	00:13:32.2	-19:30:03.6	2018-09-20T19:26:14Z	20180920-0011	1537471570	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j001332-193003"	-	-	
"J1248.7-4118"  "X-ray"	0.0114  -	12:48:47.9	-41:18:28.0	2019-01-29T22:32:53Z	20190129-0010	1548801171	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j124847-411828"	-	-
"J1840.6-7709"  "X-ray"	0.0194  -	18:40:37.2	-77:09:20.0	2019-03-17T20:08:37Z	20190316-0014	1552853317	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j184037-770920"	-	-
"J1840.6-7709"  "X-ray" 0.0194  -	18:40:37.2	-77:09:20.0	2019-03-19T04:51:25Z	20190319-0001	1552971082	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j184037-770920"	-	-
"J0712.0-6030"  "X-ray" 0.0322  -	07:12:05.4	-60:30:06.0	2019-02-18T15:01:17Z	20190218-0005	1550502064	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j071205-603006"	-	-
"J1535.1-4658"  "X-ray" 0.0360  -	15:35:09.1	-46:58:45.0	2019-01-29T00:54:47Z	20190128-0022	1548723285	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j153509-465845"	-	-
"J1535.1-4658"  "X-ray" 0.0360  -	15:35:09.1	-46:58:45.0	2019-02-11T00:14:25Z	20190208-0018	1549844065	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j153509-465845"	-	-
"J0540.1-4322"	"X-ray" 0.0848  -	05:40:10.0	-43:22:56.0	2019-03-02T12:01:15Z	20190301-0041	1551528070	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j054010-432256"	-	-
"J0328.6-5542"	"X-ray" 0.0856  -	03:28:37.5	-55:42:46.0	2019-01-28T16:01:20Z	20190128-0018	1548691270	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j032837-554246"	-	-
"J0317.9-4414"	"X-ray"	0.0753  -	03:17:58.5	-44:14:20.0	2018-12-25T13:32:58Z	20181225-0001	1545744767	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j031758-441420"	-	-
"J0416.7-5525"	"X-ray"	0.3650	-	04:16:44.9	-55:25:08.0	2018-12-24T14:01:20Z	20181221-0010	1545660075	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j041644-552508"	-	-
"J0342.8-5338"	"X-ray"	0.0597  -	03:42:53.9	-53:38:07.0	2019-03-10T09:32:53Z	20190309-0003	1552210371	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j034253-533807"	-	-
"MACSJ0257.6-2209"	"X-ray"	0.3224	-	02:57:40.3	-22:09:46.0	2018-11-12T16:51:20Z	20181111-0005	1542041476	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j025740-220946"	-	-
"MACSJ0257.6-2209"	"X-ray" 0.3224	-	02:57:40.3	-22:09:46.0	2018-12-16T15:01:18Z	20181216-0002	1544972475	"No"	-	-	-	-	-	-	-	-	-	-	-	-	-	-	"j025740-220946"	-	-
